"Luni","Curs_USD_EUR"
"Luna ianuarie 1999","1.1591"
"Luna februarie 1999","1.1203"
"Luna martie 1999","1.0886"
"Luna aprilie 1999","1.0701"
"Luna mai 1999","1.063"
"Luna iunie 1999","1.0377"
"Luna iulie 1999","1.037"
"Luna august 1999","1.0605"
"Luna septembrie 1999","1.0497"
"Luna octombrie 1999","1.0706"
"Luna noiembrie 1999","1.0328"
"Luna decembrie 1999","1.011"
"Luna ianuarie 2000","1.0131"
"Luna februarie 2000","0.9834"
"Luna martie 2000","0.9643"
"Luna aprilie 2000","0.9449"
"Luna mai 2000","0.9059"
"Luna iunie 2000","0.9505"
"Luna iulie 2000","0.9386"
"Luna august 2000","0.9045"
"Luna septembrie 2000","0.8695"
"Luna octombrie 2000","0.8525"
"Luna noiembrie 2000","0.8552"
"Luna decembrie 2000","0.8983"
"Luna ianuarie 2001","0.9376"
"Luna februarie 2001","0.9205"
"Luna martie 2001","0.9083"
"Luna aprilie 2001","0.8925"
"Luna mai 2001","0.8753"
"Luna iunie 2001","0.853"
"Luna iulie 2001","0.8615"
"Luna august 2001","0.9014"
"Luna septembrie 2001","0.9114"
"Luna octombrie 2001","0.905"
"Luna noiembrie 2001","0.8883"
"Luna decembrie 2001","0.8912"
"Luna ianuarie 2002","0.8832"
"Luna februarie 2002","0.8707"
"Luna martie 2002","0.8766"
"Luna aprilie 2002","0.886"
"Luna mai 2002","0.917"
"Luna iunie 2002","0.9561"
"Luna iulie 2002","0.9935"
"Luna august 2002","0.9781"
"Luna septembrie 2002","0.9806"
"Luna octombrie 2002","0.9812"
"Luna noiembrie 2002","1.0013"
"Luna decembrie 2002","1.0194"
"Luna ianuarie 2003","1.0622"
"Luna februarie 2003","1.0785"
"Luna martie 2003","1.0797"
"Luna aprilie 2003","1.0862"
"Luna mai 2003","1.1556"
"Luna iunie 2003","1.1674"
"Luna iulie 2003","1.1365"
"Luna august 2003","1.1155"
"Luna septembrie 2003","1.1267"
"Luna octombrie 2003","1.1714"
"Luna noiembrie 2003","1.171"
"Luna decembrie 2003","1.2298"
"Luna ianuarie 2004","1.2638"
"Luna februarie 2004","1.264"
"Luna martie 2004","1.2261"
"Luna aprilie 2004","1.1989"
"Luna mai 2004","1.2"
"Luna iunie 2004","1.2146"
"Luna iulie 2004","1.2266"
"Luna august 2004","1.2191"
"Luna septembrie 2004","1.2224"
"Luna octombrie 2004","1.2507"
"Luna noiembrie 2004","1.2997"
"Luna decembrie 2004","1.3406"
"Luna ianuarie 2005","1.3123"
"Luna februarie 2005","1.3013"
"Luna martie 2005","1.3185"
"Luna aprilie 2005","1.2943"
"Luna mai 2005","1.2697"
"Luna iunie 2005","1.2155"
"Luna iulie 2005","1.2041"
"Luna august 2005","1.2295"
"Luna septembrie 2005","1.2234"
"Luna octombrie 2005","1.2022"
"Luna noiembrie 2005","1.1789"
"Luna decembrie 2005","1.1861"
"Luna ianuarie 2006","1.2126"
"Luna februarie 2006","1.194"
"Luna martie 2006","1.2028"
"Luna aprilie 2006","1.2273"
"Luna mai 2006","1.2767"
"Luna iunie 2006","1.2661"
"Luna iulie 2006","1.2681"
"Luna august 2006","1.281"
"Luna septembrie 2006","1.2722"
"Luna octombrie 2006","1.2617"
"Luna noiembrie 2006","1.2888"
"Luna decembrie 2006","1.3205"
"Luna ianuarie 2007","1.2993"
"Luna februarie 2007","1.308"
"Luna martie 2007","1.3246"
"Luna aprilie 2007","1.3513"
"Luna mai 2007","1.3518"
"Luna iunie 2007","1.3421"
"Luna iulie 2007","1.3726"
"Luna august 2007","1.3626"
"Luna septembrie 2007","1.391"
"Luna octombrie 2007","1.4233"
"Luna noiembrie 2007","1.4683"
"Luna decembrie 2007","1.4559"
"Luna ianuarie 2008","1.4728"
"Luna februarie 2008","1.4759"
"Luna martie 2008","1.552"
"Luna aprilie 2008","1.5754"
"Luna mai 2008","1.5554"
"Luna iunie 2008","1.5562"
"Luna iulie 2008","1.5759"
"Luna august 2008","1.4955"
"Luna septembrie 2008","1.4342"
"Luna octombrie 2008","1.3266"
"Luna noiembrie 2008","1.2744"
"Luna decembrie 2008","1.3511"
"Luna ianuarie 2009","1.3244"
"Luna februarie 2009","1.2797"
"Luna martie 2009","1.305"
"Luna aprilie 2009","1.3199"
"Luna mai 2009","1.3646"
"Luna iunie 2009","1.4014"
"Luna iulie 2009","1.4092"
"Luna august 2009","1.4266"
"Luna septembrie 2009","1.4575"
"Luna octombrie 2009","1.4821"
"Luna noiembrie 2009","1.4908"
"Luna decembrie 2009","1.4579"
"Luna ianuarie 2010","1.4266"
"Luna februarie 2010","1.368"
"Luna martie 2010","1.357"
"Luna aprilie 2010","1.3417"
"Luna mai 2010","1.2563"
"Luna iunie 2010","1.2223"
"Luna iulie 2010","1.2811"
"Luna august 2010","1.2903"
"Luna septembrie 2010","1.3103"
"Luna octombrie 2010","1.3901"
