"Luni","Pret","Variatie_procentuala","Variatie_absoluta","Curs_USD_EUR"
"Luna ianuarie 1999","12.75","5.809","0.7","1.1591"
"Luna februarie 1999","12.27","-3.765","-0.48","1.1203"
"Luna martie 1999","16.76","36.593","4.49","1.0886"
"Luna aprilie 1999","18.66","11.337","1.9","1.0701"
"Luna mai 1999","16.84","-9.753","-1.82","1.063"
"Luna iunie 1999","19.29","14.549","2.45","1.0377"
"Luna iulie 1999","20.53","6.428","1.24","1.037"
"Luna august 1999","22.11","7.696","1.58","1.0605"
"Luna septembrie 1999","24.51","10.855","2.4","1.0497"
"Luna octombrie 1999","21.75","-11.261","-2.76","1.0706"
"Luna noiembrie 1999","24.59","13.057","2.84","1.0328"
"Luna decembrie 1999","25.6","4.107","1.01","1.011"
"Luna ianuarie 2000","27.64","7.969","2.04","1.0131"
"Luna februarie 2000","30.43","10.094","2.79","0.9834"
"Luna martie 2000","26.9","-11.6","-3.53","0.9643"
"Luna aprilie 2000","25.74","-4.312","-1.16","0.9449"
"Luna mai 2000","29.01","12.704","3.27","0.9059"
"Luna iunie 2000","32.5","12.03","3.49","0.9505"
"Luna iulie 2000","27.43","-15.6","-5.07","0.9386"
"Luna august 2000","33.12","20.744","5.69","0.9045"
"Luna septembrie 2000","30.84","-6.884","-2.28","0.8695"
"Luna octombrie 2000","32.7","6.031","1.86","0.8525"
"Luna noiembrie 2000","33.82","3.425","1.12","0.8552"
"Luna decembrie 2000","26.8","-20.757","-7.02","0.8983"
"Luna ianuarie 2001","28.66","6.94","1.86","0.9376"
"Luna februarie 2001","27.39","-4.431","-1.27","0.9205"
"Luna martie 2001","26.29","-4.016","-1.1","0.9083"
"Luna aprilie 2001","28.46","8.254","2.17","0.8925"
"Luna mai 2001","28.37","-0.316","-0.09","0.8753"
"Luna iunie 2001","26.25","-7.473","-2.12","0.853"
"Luna iulie 2001","26.35","0.381","0.1","0.8615"
"Luna august 2001","27.2","3.226","0.85","0.9014"
"Luna septembrie 2001","23.43","-13.86","-3.77","0.9114"
"Luna octombrie 2001","21.18","-9.603","-2.25","0.905"
"Luna noiembrie 2001","19.44","-8.215","-1.74","0.8883"
"Luna decembrie 2001","19.84","2.058","0.4","0.8912"
"Luna ianuarie 2002","19.48","-1.815","-0.36","0.8832"
"Luna februarie 2002","21.74","11.602","2.26","0.8707"
"Luna martie 2002","26.31","21.021","4.57","0.8766"
"Luna aprilie 2002","27.29","3.725","0.98","0.886"
"Luna mai 2002","25.31","-7.255","-1.98","0.917"
"Luna iunie 2002","26.86","6.124","1.55","0.9561"
"Luna iulie 2002","27.02","0.596","0.16","0.9935"
"Luna august 2002","28.98","7.254","1.96","0.9781"
"Luna septembrie 2002","30.45","5.072","1.47","0.9806"
"Luna octombrie 2002","27.22","-10.608","-3.23","0.9812"
"Luna noiembrie 2002","26.89","-1.212","-0.33","1.0013"
"Luna decembrie 2002","31.2","16.028","4.31","1.0194"
"Luna ianuarie 2003","33.51","7.404","2.31","1.0622"
"Luna februarie 2003","36.6","9.221","3.09","1.0785"
"Luna martie 2003","31.04","-15.191","-5.56","1.0797"
"Luna aprilie 2003","25.8","-16.881","-5.24","1.0862"
"Luna mai 2003","29.56","14.574","3.76","1.1556"
"Luna iunie 2003","30.19","2.131","0.63","1.1674"
"Luna iulie 2003","30.54","1.159","0.35","1.1365"
"Luna august 2003","31.57","3.373","1.03","1.1155"
"Luna septembrie 2003","29.2","-7.507","-2.37","1.1267"
"Luna octombrie 2003","29.11","-0.308","-0.09","1.1714"
"Luna noiembrie 2003","30.41","4.466","1.3","1.171"
"Luna decembrie 2003","32.52","6.939","2.11","1.2298"
"Luna ianuarie 2004","33.05","1.63","0.53","1.2638"
"Luna februarie 2004","36.16","9.41","3.11","1.264"
"Luna martie 2004","35.76","-1.106","-0.4","1.2261"
"Luna aprilie 2004","37.38","4.53","1.62","1.1989"
"Luna mai 2004","39.88","6.688","2.5","1.2"
"Luna iunie 2004","37.05","-7.096","-2.83","1.2146"
"Luna iulie 2004","43.8","18.219","6.75","1.2266"
"Luna august 2004","42.12","-3.836","-1.68","1.2191"
"Luna septembrie 2004","49.64","17.854","7.52","1.2224"
"Luna octombrie 2004","51.76","4.271","2.12","1.2507"
"Luna noiembrie 2004","49.13","-5.081","-2.63","1.2997"
"Luna decembrie 2004","43.45","-11.561","-5.68","1.3406"
"Luna ianuarie 2005","48.2","10.932","4.75","1.3123"
"Luna februarie 2005","51.75","7.365","3.55","1.3013"
"Luna martie 2005","55.4","7.053","3.65","1.3185"
"Luna aprilie 2005","49.72","-10.253","-5.68","1.2943"
"Luna mai 2005","51.97","4.525","2.25","1.2697"
